사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010300100403,2022년 1월 3일 17시,월요일,경기도 수원시 팔달구 우만동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,승용,여,25세,경상
2022010300100453,2022년 1월 3일 18시,월요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,여,36세,경상
2022010300100524,2022년 1월 3일 19시,월요일,경기도 수원시 장안구 영화동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,74세,상해없음,보행자,여,40세,경상
2022010300100528,2022년 1월 3일 19시,월요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,여,19세,상해없음,승용,남,53세,경상
2022010300100562,2022년 1월 3일 20시,월요일,경기도 수원시 장안구 하광교동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,44세,중상
2022010300100572,2022년 1월 3일 20시,월요일,경기도 수원시 권선구 고색동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,38세,경상
2022010400100004,2022년 1월 4일 01시,화요일,경기도 수원시 영통구 영통동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,24세,기타불명,승용,남,63세,경상
2022010400100070,2022년 1월 4일 08시,화요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,69세,상해없음,승용,여,34세,경상
2022010400100140,2022년 1월 4일 10시,화요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,교차로 - 교차로부근,승용,여,58세,상해없음,이륜,남,37세,경상
2022010400100228,2022년 1월 4일 13시,화요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,승용,남,50세,경상
